ecoregion	r	r_crossvalid	obs_trend_ppts	model_trend_ppts	model_DT_ppts	sst_contrib_ppts	sst_contrib_pct
Western US forest	0.95**	0.92**	1320**	1128**	706**	422 [281, 596]	32 [21, 45]
Western US non-forest	0.83**	0.66**	112 	103*	104*	-1 [-12, 16]	-1 [-11, 14]
1: American Semi-Desert forest	-0.38*	-0.19 	1118*	-24 	-24 	0 [0, 0]	0 [0, 0]
1: American Semi-Desert non-forest	0.69**	0.53**	-6 	-20 	14 	-35 [-50, -17]	538 [779, 267]
2: AZ-NM Mountains forest	0.71**	0.59**	1306**	919**	490*	429 [220, 689]	33 [17, 53]
2: AZ-NM Mountains non-forest	0.69**	0.28 	211 	579*	339 	240 [61, 392]	114 [29, 186]
3: CA Coast Chapparral Forest forest	0.26 	-0.29 	0**	1800 	1571 	229 [8, 60]	inf [inf, inf]
3: CA Coast Chapparral Forest non-forest	0.43**	0.37*	39 	166*	164*	3 [1, 4]	7 [2, 9]
4: CA Coast Range Open Woodland forest	0.66**	0.51**	68 	912 	494 	418 [36, 521]	612 [53, 762]
4: CA Coast Range Open Woodland non-forest	0.38*	-0.31 	-8 	111**	150**	-39 [-52, -13]	512 [682, 179]
5: CA Dry Steppe Province forest	-0.18 	-0.18 	0**	-18 	-18 	0 [0, 0]	nan [nan, nan]
5: CA Dry Steppe Province non-forest	0.55**	0.40*	-2 	18 	18 	0 [0, 0]	-0 [-0, -0]
6: Cascade Mixed Forest forest	0.82**	0.76**	3913**	3140**	2564**	576 [179, 811]	15 [5, 21]
6: Cascade Mixed Forest non-forest	0.49**	0.17 	814**	571**	481**	90 [23, 98]	11 [3, 12]
7: Chihuahuan Semi-Desert forest	0.77**	0.67**	1355**	2185**	899*	1286 [425, 1773]	95 [31, 131]
7: Chihuahuan Semi-Desert non-forest	0.49**	0.24 	68 	137 	31 	106 [26, 130]	156 [39, 190]
8: CO Plateau forest	0.61**	0.50**	4962**	4358**	1393**	2965 [441, 3024]	60 [9, 61]
8: CO Plateau non-forest	0.51**	0.05 	258 	191 	80 	112 [31, 144]	43 [12, 56]
9: Great Plains forest	0.79**	0.73**	496*	369 	180 	189 [84, 303]	38 [17, 61]
9: Great Plains non-forest	0.73**	0.70**	516**	230*	236*	-6 [-10, -3]	-1 [-2, -1]
10: IM Semi-Desert forest	0.58**	0.39*	440*	399*	200 	199 [53, 296]	45 [12, 67]
10: IM Semi-Desert non-forest	0.71**	0.31 	142 	162*	163*	-1 [-1, -0]	-0 [-1, -0]
11: IM Semi-Desert and Desert forest	0.76**	0.61**	720*	798**	410*	388 [154, 486]	54 [21, 67]
11: IM Semi-Desert and Desert non-forest	0.58**	0.40*	-16 	5 	42 	-37 [-43, -10]	228 [263, 63]
12: Middle Rocky Mountain Steppe forest	0.92**	0.90**	577*	611*	246*	365 [203, 530]	63 [35, 92]
12: Middle Rocky Mountain Steppe non-forest	0.75**	0.70**	262 	234*	126 	108 [35, 154]	41 [13, 59]
13: NV-UT Mountains forest	0.88**	0.75**	1152**	1677**	594**	1083 [455, 1364]	94 [39, 118]
13: NV-UT Mountains non-forest	0.61**	0.29 	88 	3 	-16 	19 [5, 25]	21 [6, 29]
14: Northern Rocky Mountain Forest forest	0.80**	0.73**	1775**	2200**	2384**	-184 [-250, -57]	-10 [-14, -3]
14: Northern Rocky Mountain Forest non-forest	0.68**	0.35*	989**	1843**	2126**	-282 [-293, -55]	-29 [-30, -6]
15: Sierran Steppe forest	0.89**	0.86**	2582**	1592**	1389**	203 [97, 260]	8 [4, 10]
15: Sierran Steppe non-forest	0.65**	0.51**	337*	150 	144 	6 [2, 8]	2 [1, 2]
16: Southern Rocky Mountain Steppe forest	0.87**	0.80**	4721**	3507**	1243*	2264 [898, 3281]	48 [19, 69]
16: Southern Rocky Mountain Steppe non-forest	0.77**	0.72**	419*	194 	24 	170 [73, 198]	41 [17, 47]
17: SW Plateau and Plains forest	-0.34*	-0.34*	0**	-40 	-40 	0 [0, 0]	nan [nan, nan]
17: SW Plateau and Plains non-forest	0.77**	0.47**	-7**	-107 	-109 	3 [-1, 8]	-40 [8, -108]
